kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,Aix galericulata,1242,129
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas acuta,1911,53
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas carolinensis,320,700
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas clypeata,845,199
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas crecca,1824,60
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,2600,15
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas querquedula,618,296
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas strepera,727,250
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser albifrons,568,331
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser anser,2979,7
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser brachyrhynchus,2812,9
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser fabalis,954,170
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser indicus,453,432
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser serrirostris,262,908
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya collaris,361,585
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya ferina,735,246
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya fuligula,1699,72
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya marila,1439,98
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta bernicla,317,708
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta canadensis,1463,97
Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta leucopsis,2073,40
Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,Bucephala clangula,2242,33
Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,Clangula hyemalis,1807,65
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus columbianus,356,595
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus cygnus,4041,1
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,2504,22
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,Mareca penelope,1463,96
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,Mareca strepera,563,335
Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,Melanitta fusca,1297,118
Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,Melanitta nigra,1279,123
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,Mergellus albellus,406,493
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,Mergellus albellus,977,165
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,Mergus merganser,2107,37
Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,Mergus serrator,1918,52
Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,Polysticta stelleri,382,543
Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,Somateria mollissima,2086,38
Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,Somateria spectabilis,1101,151
Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula clypeata,705,260
Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula querquedula,355,598
Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna ferruginea,221,1092
Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna tadorna,1858,57
