,kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
560,Plantae,Magnoliophyta,Monocots,Asparagales,Asparagaceae,Convallaria,Convallaria majalis,372,560
673,Plantae,Magnoliophyta,Monocots,Asparagales,Asparagaceae,Maianthemum,Maianthemum bifolium,330,673
1003,Plantae,Magnoliophyta,Monocots,Asparagales,Asparagaceae,Polygonatum,Polygonatum odoratum,240,1003
892,Plantae,Magnoliophyta,Monocots,Asparagales,Iridaceae,Iris,Iris pseudacorus,264,892
705,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Corallorhiza,Corallorhiza trifida,317,705
643,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Cypripedium,Cypripedium calceolus,340,643
1011,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Dactylorhiza,Dactylorhiza incarnata,239,1011
550,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Dactylorhiza,Dactylorhiza maculata,378,550
454,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Epipactis,Epipactis atrorubens,431,454
770,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Epipactis,Epipactis helleborine,298,770
678,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Goodyera,Goodyera repens,328,678
412,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Gymnadenia,Gymnadenia conopsea,475,412
989,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Neottia,Neottia cordata,244,989
1027,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Neottia,Neottia nidus-avis,235,1027
522,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Neottia,Neottia ovata,390,522
385,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Orchis,Orchis mascula,494,385
443,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Platanthera,Platanthera bifolia,443,443
534,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Platanthera,Platanthera chlorantha,387,534
