kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,Achillea millefolium,407,491
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,Achillea ptarmica,221,1089
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Antennaria,Antennaria dioica,316,710
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Arnica,Arnica montana,492,388
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,Cirsium arvense,249,965
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,Cirsium heterophyllum,265,887
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,Cirsium palustre,261,911
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,Cirsium vulgare,279,834
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Jacobaea,Jacobaea vulgaris,384,541
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Leucanthemum,Leucanthemum vulgare,387,533
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Pilosella,Pilosella aurantiaca,220,1100
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Solidago,Solidago canadensis,299,767
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Solidago,Solidago virgaurea,289,802
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Tanacetum,Tanacetum vulgare,264,897
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Tripleurospermum,Tripleurospermum inodorum,247,974
Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Tussilago,Tussilago farfara,587,315
Plantae,Magnoliophyta,Eudicots,Asterales,Campanulaceae,Campanula,Campanula persicifolia,223,1080
Plantae,Magnoliophyta,Eudicots,Asterales,Campanulaceae,Campanula,Campanula rotundifolia,455,427
Plantae,Magnoliophyta,Eudicots,Asterales,Menyanthaceae,Menyanthes,Menyanthes trifoliata,305,748
