record_id,image_url,image_id,taxon_full_name,kingdom,phylum,class,order,family,genus,taxon_id_at_source
1825449750,https://www.artsobservasjoner.no/MediaLibrary/2017/9/24331fce-57d0-41d9-bedf-62b93f041c68_image.jpg,1825449750_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1843615885,https://www.artsobservasjoner.no/MediaLibrary/2018/4/db1c3e01-7269-42ae-8ba7-3232f084fab9_image.jpg,1843615885_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1844179495,https://www.artsobservasjoner.no/MediaLibrary/2018/3/8f77f989-7d31-48b2-9b1a-0b32fbbfab15_image.jpg,1844179495_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1844238605,https://www.artsobservasjoner.no/MediaLibrary/2018/4/c35c7fd5-648d-465d-9973-fb376a081583_image.jpg,1844238605_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1884800735,https://www.artsobservasjoner.no/MediaLibrary/2018/7/54cf89aa-3511-496f-8afb-b117caeb53f4_image.jpg,1884800735_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1884800735,https://www.artsobservasjoner.no/MediaLibrary/2018/7/6cf789d9-6309-4770-b5f7-ab99a4f776b1_image.jpg,1884800735_1,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1884832385,https://www.artsobservasjoner.no/MediaLibrary/2018/7/8eb1bf1a-1542-44af-a89f-391831d3b349_image.jpg,1884832385_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1933315820,https://www.artsobservasjoner.no/MediaLibrary/2018/9/7e9783f7-896d-420b-8356-a27b9d8e7758_image.jpg,1933315820_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
1946486265,https://www.artsobservasjoner.no/MediaLibrary/2018/11/1bc04ff6-7ef9-448e-bbe6-549407fdfdae_image.jpg,1946486265_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2313622058,https://www.artsobservasjoner.no/MediaLibrary/2019/7/91d74afb-59be-4cd4-9e2c-71abeedda575_image.jpg,2313622058_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2351895718,https://www.artsobservasjoner.no/MediaLibrary/2019/8/c91e93ad-c82e-44d2-9f9c-0f1cdb973523_image.jpg,2351895718_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2363537793,https://www.artsobservasjoner.no/MediaLibrary/2019/8/2e24a1f7-02d0-4b8d-a403-35798f269d31_image.jpg,2363537793_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2399514493,https://www.artsobservasjoner.no/MediaLibrary/plants/2010/large/132367.jpg,2399514493_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2399831173,https://www.artsobservasjoner.no/MediaLibrary/plants/2011/large/197179.jpg,2399831173_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2401988648,https://www.artsobservasjoner.no/MediaLibrary/2016/1/403b505c-f7a8-4ea8-a337-6c5f877bcbb4_image.jpg,2401988648_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2402715993,https://www.artsobservasjoner.no/MediaLibrary/2016/8/14fb5ea8-7e94-4e07-b0a6-6c82fdcd5f5d_image.jpg,2402715993_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2403005118,https://www.artsobservasjoner.no/MediaLibrary/plants/2010/large/133173.jpg,2403005118_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2403005118,https://www.artsobservasjoner.no/MediaLibrary/plants/2010/large/133171.jpg,2403005118_1,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
2403490113,https://www.artsobservasjoner.no/MediaLibrary/2016/1/b8d081fe-d3ed-4461-b593-620d73735db0_image.jpg,2403490113_0,Achillea millefolium,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,491
