,kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
249,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,Alca torda,727,249
285,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alle,Alle alle,645,285
147,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,Cepphus grylle,1130,147
439,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,445,439
109,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,Uria aalge,1345,109
111,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius dubius,1339,111
31,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius hiaticula,2312,31
173,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius morinellus,943,173
46,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis apricaria,1994,46
187,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis squatarola,886,187
10,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus vanellus,2807,10
11,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus ostralegus,2783,11
36,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,2108,36
226,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydrocoloeus,Hydrocoloeus minutus,776,226
19,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,2531,19
799,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus cachinnans,290,799
29,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus canus,2346,29
71,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus fuscus,1707,71
28,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus glaucoides,2351,28
47,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus hyperboreus,1981,47
104,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus marinus,1385,104
565,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus melanocephalus,371,565
110,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,1345,110
85,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,1564,85
197,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna paradisaea,846,197
771,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis,298,771
81,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,1621,81
159,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,1057,159
204,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,837,204
45,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alpina,2003,45
132,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris canutus,1227,132
513,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris falcinellus,394,513
295,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ferruginea,620,295
48,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris maritima,1960,48
446,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris melanotos,440,446
183,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris minuta,898,183
59,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris pugnax,1851,59
191,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris temminckii,879,191
590,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago gallinago,360,590
139,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago/Lymnocryptes,Gallinago gallinago,1180,139
727,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago/Lymnocryptes,Lymnocryptes minimus,310,727
73,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa lapponica,1683,73
166,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa limosa,977,166
17,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,2570,17
158,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,1058,158
578,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus fulicarius,366,578
289,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus lobatus,634,289
357,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax rusticola,536,357
240,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa erythropus,741,240
125,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa glareola,1263,125
93,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa nebularia,1491,93
198,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa ochropus,846,198
50,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa totanus,1931,50
562,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius longicaudus,372,562
339,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius parasiticus,555,339
436,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius skua,449,436
