record_id,image_url,image_id,taxon_full_name,kingdom,phylum,class,order,family,genus,taxon_id_at_source
1933112350,https://www.artsobservasjoner.no/MediaLibrary/2018/10/767cb8b7-5848-4d1b-a80f-06dbd142fc5c_image.jpg,1933112350_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2247842083,https://www.artsobservasjoner.no/MediaLibrary/2019/4/aaa328e7-75a4-47f6-884c-fec3e072b2eb_image.jpg,2247842083_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2398031833,https://www.artsobservasjoner.no/MediaLibrary/birds/2010/large/136683.jpg,2398031833_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2398053023,https://www.artsobservasjoner.no/MediaLibrary/2015/11/8b8e4d44-919d-4422-841b-8317e4495310_image.jpg,2398053023_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2398128618,https://www.artsobservasjoner.no/MediaLibrary/2017/7/ad53b0e2-43f5-454b-85ee-59c604dbb519_image.jpg,2398128618_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2398291618,https://www.artsobservasjoner.no/MediaLibrary/2017/7/fe351a0d-172d-40c4-b96f-cf76c3960ad6_image.jpg,2398291618_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2398899018,https://www.artsobservasjoner.no/MediaLibrary/birds/2010/large/159862.jpg,2398899018_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2398899018,https://www.artsobservasjoner.no/MediaLibrary/birds/2010/large/159863.jpg,2398899018_1,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2399940073,https://www.artsobservasjoner.no/MediaLibrary/2015/10/6165e23b-1cd4-4114-8735-27b2f7875a03_image.jpg,2399940073_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2402128843,https://www.artsobservasjoner.no/MediaLibrary/2015/11/78043b55-d659-40f5-8d3b-404b03b22a13_image.jpg,2402128843_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2402233743,https://www.artsobservasjoner.no/MediaLibrary/birds/2009/large/108632.jpg,2402233743_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2403370703,https://www.artsobservasjoner.no/MediaLibrary/birds/2014/large/446152.jpg,2403370703_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
2405310978,https://www.artsobservasjoner.no/MediaLibrary/birds/2009/large/78671.jpg,2405310978_0,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,249
