kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis obscura,368,575
Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis pellucida,249,961
Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha fulva,221,1086
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus nemoralis,265,889
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela campestris,329,677
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Leptura,Leptura quadrifasciata,341,636
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rhagium,Rhagium inquisitor,264,898
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rhagium,Rhagium mordax,413,482
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rutpela,Rutpela maculata,307,742
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Stictoleptura,Stictoleptura rubra,277,841
Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysomela,Chrysomela populi,231,1047
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,Adalia bipunctata,326,684
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,625,293
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Propylea,Propylea quatuordecimpunctata,366,577
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Hylobius,Hylobius abietis,270,863
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Orthotomicus,Orthotomicus longicollis,278,835
Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Selatosomus,Selatosomus aeneus,221,1091
Animalia,Arthropoda,Insecta,Coleoptera,Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,423,466
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cetonia,Cetonia aurata,302,757
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,Protaetia metallica,308,738
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Trichius,Trichius fasciatus,764,233
Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Nicrophorus,Nicrophorus investigator,241,999
Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Phosphuga,Phosphuga atrata,225,1071
