,kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
862,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius major,271,862
713,Animalia,Arthropoda,Insecta,Diptera,Rhagionidae,Rhagio,Rhagio scolopaceus,316,713
202,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,841,202
932,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis arbustorum,255,932
1073,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis horticola,224,1073
500,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis intricaria,400,500
741,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis nemorum,307,741
356,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis pertinax,539,356
934,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis rupium,255,934
582,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax,362,582
658,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes,Eupeodes corollae,335,658
252,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Helophilus,Helophilus pendulus,725,252
1002,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Leucozona,Leucozona glaucia,240,1002
855,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Meliscaeva,Meliscaeva cinctella,273,855
661,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Myathropa,Myathropa florea,334,661
789,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Scaeva,Scaeva pyrastri,292,789
294,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Sericomyia,Sericomyia silentis,623,294
571,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Sphaerophoria,Sphaerophoria scripta,370,571
914,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens,260,914
747,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Syrphus,Syrphus ribesii,305,747
785,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Syrphus,Syrphus torvus,294,785
782,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella bombylans,294,782
291,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella pellucens,632,291
958,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Xylota,Xylota segnis,250,958
