,truth,img_highscore,img_highscore_species,img_truescore,img_true_ranking,truth_name,img_highscore_species_name
0,918,0.9993799924850464,918,0.9993799924850464,1,Acolium inquinans,Acolium inquinans
1,918,0.9840620160102844,918,0.9840620160102844,1,Acolium inquinans,Acolium inquinans
2,918,0.8452208042144775,918,0.8452208042144775,1,Acolium inquinans,Acolium inquinans
3,918,0.6807528138160706,511,0.3138289451599121,2,Acolium inquinans,Acolium karelicum
4,918,0.9999576807022095,918,0.9999576807022095,1,Acolium inquinans,Acolium inquinans
5,918,0.7341967225074768,918,0.7341967225074768,1,Acolium inquinans,Acolium inquinans
6,918,0.9998958110809326,918,0.9998958110809326,1,Acolium inquinans,Acolium inquinans
7,918,0.8804312348365784,918,0.8804312348365784,1,Acolium inquinans,Acolium inquinans
8,918,0.9908884763717651,918,0.9908884763717651,1,Acolium inquinans,Acolium inquinans
9,918,0.9734434485435486,511,0.026014765724539757,2,Acolium inquinans,Acolium karelicum
10,918,0.5778486132621765,511,0.3996204733848572,2,Acolium inquinans,Acolium karelicum
11,918,0.5928999185562134,1021,0.251110702753067,2,Acolium inquinans,Usnea longissima
12,918,0.4056059420108795,918,0.4056059420108795,1,Acolium inquinans,Acolium inquinans
13,918,0.9890751838684082,918,0.9890751838684082,1,Acolium inquinans,Acolium inquinans
14,918,0.9184691309928894,511,0.053879640996456146,2,Acolium inquinans,Acolium karelicum
15,918,0.9705760478973389,918,0.9705760478973389,1,Acolium inquinans,Acolium inquinans
16,918,0.9400945901870728,154,0.005010190419852734,5,Acolium inquinans,Alectoria sarmentosa
17,918,0.9664870500564575,918,0.9664870500564575,1,Acolium inquinans,Acolium inquinans
18,918,0.8203741312026978,511,0.1335703432559967,2,Acolium inquinans,Acolium karelicum
19,918,0.8659700751304626,511,0.1335788071155548,2,Acolium inquinans,Acolium karelicum
20,918,0.9618096947669983,918,0.9618096947669983,1,Acolium inquinans,Acolium inquinans
21,918,0.5617165565490723,511,0.3918689787387848,2,Acolium inquinans,Acolium karelicum
22,918,0.6745471358299255,511,0.2522633671760559,2,Acolium inquinans,Acolium karelicum
23,918,0.9551154375076294,918,0.9551154375076294,1,Acolium inquinans,Acolium inquinans
24,918,0.999678373336792,918,0.999678373336792,1,Acolium inquinans,Acolium inquinans
25,918,0.9987850785255432,918,0.9987850785255432,1,Acolium inquinans,Acolium inquinans
26,918,0.9925986528396606,918,0.9925986528396606,1,Acolium inquinans,Acolium inquinans
27,918,0.7938757538795471,511,0.20564356446266174,2,Acolium inquinans,Acolium karelicum
28,918,0.9440669417381287,918,0.9440669417381287,1,Acolium inquinans,Acolium inquinans
29,918,0.9998713731765747,918,0.9998713731765747,1,Acolium inquinans,Acolium inquinans
30,918,0.9689926505088806,511,0.03019096702337265,2,Acolium inquinans,Acolium karelicum
31,918,0.9400486946105957,918,0.9400486946105957,1,Acolium inquinans,Acolium inquinans
32,918,0.9670395851135254,918,0.9670395851135254,1,Acolium inquinans,Acolium inquinans
33,918,0.7699015140533447,511,0.22824250161647797,2,Acolium inquinans,Acolium karelicum
34,918,0.9952195286750793,918,0.9952195286750793,1,Acolium inquinans,Acolium inquinans
35,918,0.9586939215660095,918,0.9586939215660095,1,Acolium inquinans,Acolium inquinans
