kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,Acolium inquinans,259,918
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Caliciaceae,Acolium,Acolium karelicum,395,511
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Carbonicolaceae,Carbonicola,Carbonicola myrmecina,253,942
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,Cladonia uncialis,244,984
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ophioparmaceae,Ophioparma,Ophioparma ventosa,220,1097
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa,1081,154
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,Cetraria islandica,222,1081
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Evernia,Evernia prunastri,260,916
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,Hypogymnia physodes,443,442
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,Hypogymnia tubulosa,289,800
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Letharia,Letharia vulpina,334,662
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,Parmelia saxatilis,398,504
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,Parmelia sulcata,514,373
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Platismatia,Platismatia glauca,314,718
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Pseudevernia,Pseudevernia furfuracea,359,593
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Usnea,Usnea longissima,236,1021
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Vulpicida,Vulpicida pinastri,383,542
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,Xanthoparmelia conspersa,248,971
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Phlyctidaceae,Phlyctis,Phlyctis argena,220,1095
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Physciaceae,Physcia,Physcia tenella,264,896
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,Ramalina farinacea,276,843
Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Sphaerophorus,Sphaerophorus globosus,256,928
