kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Animalia,Arthropoda,Insecta,Lepidoptera,Alucitidae,Alucita,Alucita hexadactyla,544,351
Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia conjugella,236,1025
Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia goedartella,263,904
Animalia,Arthropoda,Insecta,Lepidoptera,Choreutidae,Anthophila,Anthophila fabriciana,310,728
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila inquinatella,312,725
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila straminella,541,355
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila tristella,570,330
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania funebris,261,910
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania hortulata,385,537
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Catoptria,Catoptria falsella,380,546
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Catoptria,Catoptria permutatellus,344,629
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Catoptria,Catoptria pinella,240,1006
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,Chrysoteuchia culmella,522,367
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus,Crambus lathoniellus,571,329
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,Elophila nymphaeata,281,829
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Eudonia,Eudonia lacustrata,488,394
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Eudonia,Eudonia truncicolella,450,434
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Scoparia,Scoparia ambigualis,309,730
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea lutealis,413,480
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea prunalis,333,667
Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix arenella,286,810
Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix heracliana,290,794
Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix ocellana,264,899
Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Achlya,Achlya flavicornis,535,358
Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Falcaria,Falcaria lacertinaria,238,1013
Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides,229,1055
Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Tethea,Tethea or,232,1043
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctia,Arctia caja,290,798
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala fraxini,331,671
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Diacrisia,Diacrisia sannio,245,980
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Diaphora,Diaphora mendica,237,1019
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema depressa,226,1062
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema lurideola,359,594
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euclidia,Euclidia glyphica,254,936
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Herminia,Herminia tarsipennalis,305,746
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena proboscidalis,603,303
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Phragmatobia,Phragmatobia fuliginosa,408,486
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Rivula,Rivula sericealis,319,701
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Scoliopteryx,Scoliopteryx libatrix,333,666
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda,489,392
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,224,1072
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis aurantiaria,766,231
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis marginaria,401,499
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Alcis,Alcis repandata,703,261
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Alsophila,Alsophila aescularia,260,915
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Biston,Biston betularia,349,614
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Biston,Biston strataria,306,744
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Bupalus,Bupalus piniaria,225,1068
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cabera,Cabera exanthemata,427,460
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cabera,Cabera pusaria,547,346
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Campaea,Campaea margaritaria,374,557
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Camptogramma,Camptogramma bilineata,579,323
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata,599,307
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta miata,650,281
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta siterata,764,232
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cleora,Cleora cinctaria,257,925
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Colostygia,Colostygia pectinataria,274,854
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Colotois,Colotois pennaria,369,574
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cosmorhoe,Cosmorhoe ocellata,384,538
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Crocallis,Crocallis elinguaria,526,365
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dysstroma,Dysstroma citrata,829,206
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dysstroma,Dysstroma latefasciata,287,806
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Dysstroma,Dysstroma truncata,551,342
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ecliptopera,Ecliptopera silaceata,421,469
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ectropis,Ectropis crepuscularia,420,470
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ematurga,Ematurga atomaria,740,243
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos alniaria,227,1060
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Entephria,Entephria caesiata,422,467
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epione,Epione repandaria,220,1096
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epirrhoe,Epirrhoe alternata,370,568
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epirrita,Epirrita autumnata,370,570
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Erannis,Erannis defoliaria,579,322
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis populata,898,184
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis prunata,528,363
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis testata,476,410
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia centaureata,237,1018
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia icterata,339,645
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia pulchellata,221,1087
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia pusillata,790,221
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia satyrata,221,1088
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia succenturiata,246,978
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia tantillaria,249,960
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia vulgata,272,858
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Geometra,Geometra papilionaria,472,416
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Gymnoscelis,Gymnoscelis rufifasciata,412,483
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hydriomena,Hydriomena furcata,737,245
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hylaea,Hylaea fasciaria,317,707
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,Idaea aversata,785,223
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,Idaea biselata,464,421
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,Idaea dimidiata,265,884
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Jodis,Jodis putata,294,783
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobophora,Lobophora halterata,240,1004
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomaspilis,Lomaspilis marginata,648,283
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lycia,Lycia hirtaria,419,473
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,Macaria brunneata,380,547
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,Macaria liturata,317,709
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,Macaria wauaria,372,563
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Martania,Martania taeniata,340,642
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Mesotype,Mesotype didymata,590,312
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Odezia,Odezia atrata,233,1035
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Odontopera,Odontopera bidentata,590,311
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Operophtera,Operophtera brumata,546,350
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Operophtera,Operophtera fagata,254,939
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Opisthograptis,Opisthograptis luteolata,452,433
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ourapteryx,Ourapteryx sambucaria,244,985
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pasiphila,Pasiphila rectangulata,222,1084
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pennithera,Pennithera firmata,426,461
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Peribatodes,Peribatodes rhomboidaria,261,909
