,kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
351,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitidae,Alucita,Alucita hexadactyla,544,351
1025,Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia conjugella,236,1025
904,Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia goedartella,263,904
728,Animalia,Arthropoda,Insecta,Lepidoptera,Choreutidae,Anthophila,Anthophila fabriciana,310,728
725,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila inquinatella,312,725
355,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila straminella,541,355
330,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila tristella,570,330
910,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania funebris,261,910
537,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania hortulata,385,537
546,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Catoptria,Catoptria falsella,380,546
629,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Catoptria,Catoptria permutatellus,344,629
1006,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Catoptria,Catoptria pinella,240,1006
367,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,Chrysoteuchia culmella,522,367
329,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus,Crambus lathoniellus,571,329
829,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,Elophila nymphaeata,281,829
394,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Eudonia,Eudonia lacustrata,488,394
434,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Eudonia,Eudonia truncicolella,450,434
730,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Scoparia,Scoparia ambigualis,309,730
480,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea lutealis,413,480
667,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea prunalis,333,667
810,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix arenella,286,810
794,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix heracliana,290,794
899,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix ocellana,264,899
358,Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Achlya,Achlya flavicornis,535,358
1013,Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Falcaria,Falcaria lacertinaria,238,1013
1055,Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides,229,1055
1043,Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Tethea,Tethea or,232,1043
798,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctia,Arctia caja,290,798
671,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala fraxini,331,671
980,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Diacrisia,Diacrisia sannio,245,980
1019,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Diaphora,Diaphora mendica,237,1019
1062,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema depressa,226,1062
594,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema lurideola,359,594
936,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euclidia,Euclidia glyphica,254,936
746,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Herminia,Herminia tarsipennalis,305,746
303,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena proboscidalis,603,303
486,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Phragmatobia,Phragmatobia fuliginosa,408,486
701,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Rivula,Rivula sericealis,319,701
666,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Scoliopteryx,Scoliopteryx libatrix,333,666
392,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda,489,392
1072,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,224,1072
231,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis aurantiaria,766,231
499,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis marginaria,401,499
261,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Alcis,Alcis repandata,703,261
915,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Alsophila,Alsophila aescularia,260,915
614,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Biston,Biston betularia,349,614
