kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna caerulea,267,878
Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna cyanea,389,527
Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna grandis,505,378
Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna juncea,907,182
Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,Aeshna mixta,249,962
Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,481,406
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,Coenagrion hastulatum,741,239
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,277,840
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,Coenagrion pulchellum,346,622
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,Enallagma cyathigerum,973,169
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans,303,755
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Pyrrhosoma,Pyrrhosoma nymphula,654,277
Animalia,Arthropoda,Insecta,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster boltonii,299,768
Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Cordulia,Cordulia aenea,379,548
Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Somatochlora,Somatochlora metallica,226,1064
Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,Lestes sponsa,733,247
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Leucorrhinia,Leucorrhinia dubia,714,255
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,Libellula quadrimaculata,873,192
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Orthetrum,Orthetrum coerulescens,264,891
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum danae,1285,121
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum sanguineum,248,968
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum striolatum,1025,160
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum vulgatum,418,475
