record_id,image_url,image_id,taxon_full_name,kingdom,phylum,class,order,family,genus,taxon_id_at_source
1822939710,https://www.artsobservasjoner.no/MediaLibrary/2017/8/3bc903e8-0702-4318-b0d1-701c2d0fee1c_image.jpg,1822939710_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
1825042490,https://www.artsobservasjoner.no/MediaLibrary/2017/7/359f25e2-bf58-432a-a2a8-2d946fc09d46_image.jpg,1825042490_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
1884787255,https://www.artsobservasjoner.no/MediaLibrary/2018/7/81e2302a-9309-47de-be53-da528d79d847_image.jpg,1884787255_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
1884840660,https://www.artsobservasjoner.no/MediaLibrary/2018/7/621a6964-91a0-427c-b89c-a30b1021347c_image.jpg,1884840660_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
1884840660,https://www.artsobservasjoner.no/MediaLibrary/2018/7/b5fac7c4-f715-48da-bc1f-77ad6e671872_image.jpg,1884840660_1,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
1899650155,https://www.artsobservasjoner.no/MediaLibrary/2018/8/da4a1aa9-9064-4f36-97ac-08826cbb8926_image.jpg,1899650155_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
1899650155,https://www.artsobservasjoner.no/MediaLibrary/2018/8/c693bcb6-8ffa-406b-bf05-cf213274b874_image.jpg,1899650155_1,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
1899650155,https://www.artsobservasjoner.no/MediaLibrary/2018/8/20c582ce-ed75-4dea-882c-05aa963abbb7_image.jpg,1899650155_2,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2273547128,https://www.artsobservasjoner.no/MediaLibrary/2019/6/688b9527-9fa9-4f2e-ba23-b808b7d56253_image.jpg,2273547128_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2273547128,https://www.artsobservasjoner.no/MediaLibrary/2019/6/1d8d0af5-ea54-487d-afce-cab6546b73be_image.jpg,2273547128_1,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2273547128,https://www.artsobservasjoner.no/MediaLibrary/2019/6/d50ca6d2-304c-4700-9b6e-809bf82553ab_image.jpg,2273547128_2,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2399859963,https://www.artsobservasjoner.no/MediaLibrary/2015/7/f94fde00-a3ee-441f-b7ae-09261d92af4c_image.jpg,2399859963_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2399906853,https://www.artsobservasjoner.no/MediaLibrary/bugs/2009/large/76641.jpg,2399906853_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2399956493,https://www.artsobservasjoner.no/MediaLibrary/2021/4/9d588457-ecbd-41a8-ae9b-40f515f5c7db_image.jpg,2399956493_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2400039908,https://www.artsobservasjoner.no/MediaLibrary/2017/7/5fb3306d-01d5-48a2-a324-dea76e15326b_image.jpg,2400039908_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2401312003,https://www.artsobservasjoner.no/MediaLibrary/bugs/2008/large/75444.jpg,2401312003_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2401399163,https://www.artsobservasjoner.no/MediaLibrary/2015/9/474e119b-7412-4a18-a52d-b01df9e805a6_image.jpg,2401399163_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2402307393,https://www.artsobservasjoner.no/MediaLibrary/bugs/2013/large/344432.jpg,2402307393_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
2402486993,https://www.artsobservasjoner.no/MediaLibrary/bugs/2008/large/62262.jpg,2402486993_0,Aeshna caerulea,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,878
