kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus dumetorum,399,502
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus palustris,590,313
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus schoenobaenus,799,218
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus scirpaceus,439,447
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,Hippolais icterina,529,362
Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,1493,92
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis,1066,156
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,929,178
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Lullula,Lullula arborea,399,501
Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla garrulus,2316,30
Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,Calcarius lapponicus,796,219
Animalia,Chordata,Aves,Passeriformes,Calcariidae,Plectrophenax,Plectrophenax nivalis,1604,84
Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia familiaris,1417,102
Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,Cinclus cinclus,2169,35
Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,885,188
Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,1172,141
Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corone,665,272
Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus frugilegus,1243,128
Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus monedula,652,278
Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,Garrulus glandarius,1321,114
Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,Nucifraga caryocatactes,1217,133
Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus,Perisoreus infaustus,728,248
Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica pica,804,215
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza citrinella,2360,27
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza leucocephalos,247,975
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza pusilla,393,517
Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza schoeniclus,2043,42
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis cabaret,778,225
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis flammea,1860,56
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis hornemanni,784,224
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis cannabina,935,176
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis carduelis,2573,16
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis flavirostris,801,217
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis spinus,1304,116
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,Carpodacus erythrinus,935,175
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,Chloris chloris,1727,69
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,Coccothraustes coccothraustes,2480,23
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,1876,54
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla montifringilla,1864,55
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,309,731
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria flavirostris,282,824
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia curvirostra,1355,108
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia leucoptera,936,174
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia pytyopsittacus,817,211
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pinicola,Pinicola enucleator,1533,88
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,Pyrrhula pyrrhula,1811,64
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus spinus,387,532
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,Delichon urbicum,394,516
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,1250,126
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,Riparia riparia,662,273
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius collurio,1635,79
Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius excubitor,2742,13
Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella naevia,347,619
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus cervinus,245,983
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus hodgsoni,230,1049
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus petrosus,1639,77
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,2050,41
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus richardi,307,740
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus trivialis,711,256
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,2456,25
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea,1820,63
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla citreola,330,674
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla flava,1300,117
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula hypoleuca,1366,106
