,kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
502,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus dumetorum,399,502
313,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus palustris,590,313
218,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus schoenobaenus,799,218
447,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus scirpaceus,439,447
362,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,Hippolais icterina,529,362
92,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,1493,92
156,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis,1066,156
178,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,929,178
501,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Lullula,Lullula arborea,399,501
30,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla garrulus,2316,30
219,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,Calcarius lapponicus,796,219
84,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Plectrophenax,Plectrophenax nivalis,1604,84
102,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia familiaris,1417,102
35,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,Cinclus cinclus,2169,35
188,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,885,188
141,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,1172,141
272,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corone,665,272
128,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus frugilegus,1243,128
278,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus monedula,652,278
114,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,Garrulus glandarius,1321,114
133,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,Nucifraga caryocatactes,1217,133
248,Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus,Perisoreus infaustus,728,248
