kingdom,phylum,class,order,family,genus,taxon_full_name,count,taxon_id_at_source
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Antrodia,Antrodia serialis,391,520
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Daedalea,Daedalea quercina,323,692
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis pinicola,1202,136
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis rosea,468,418
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Ischnoderma,Ischnoderma benzoinum,297,774
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Laetiporus,Laetiporus sulphureus,352,605
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Piptoporus,Piptoporus betulinus,766,230
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,Postia caesia,316,712
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma applanatum,700,263
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Bjerkandera,Bjerkandera adusta,497,384
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Merulius,Merulius tremellosus,326,685
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia centrifuga,587,314
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia radiata,494,386
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Antrodiella,Antrodiella citrinella,339,644
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Byssomerulius,Byssomerulius corium,409,485
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Meruliopsis,Meruliopsis taxicola,359,591
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Cerrena,Cerrena unicolor,533,360
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Daedaleopsis,Daedaleopsis confragosa,488,395
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Datronia,Datronia mollis,480,407
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Dichomitus,Dichomitus campestris,392,519
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,Fomes fomentarius,992,162
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Polyporus brumalis,576,327
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Polyporus ciliatus,268,874
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Polyporus leptocephalus,267,877
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Skeletocutis,Skeletocutis amorpha,258,921
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes betulina,288,804
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes cinnabarina,424,463
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes hirsuta,661,274
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes ochracea,692,264
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes versicolor,532,361
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trichaptum,Trichaptum abietinum,613,298
